anime_id,anime_name,recommendation_count
1,Cowboy Bebop,5084
5,Cowboy Bebop: Tengoku no Tobira,2307
6,Trigun,3953
7,Witch Hunter Robin,5
15,Eyeshield 21,11
16,Hachimitsu to Clover,119
19,Monster,232
20,Naruto,5648
22,Prince of Tennis,19
24,School Rumble,1222
27,Trinity Blood,151
30,Neon Genesis Evangelion,1744
31,Neon Genesis Evangelion: Death &amp; Rebirth,1315
32,Neon Genesis Evangelion: The End of Evangelion,2760
33,Berserk,1203
43,Ghost in the Shell,2167
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,704
45,Rurouni Kenshin: Meiji Kenkaku Romantan,2287
47,Akira,2856
48,.hack//Sign,39
49,Aa! Megami-sama!,2
50,Aa! Megami-sama! (TV),155
52,Kidou Tenshi Angelic Layer,1
53,Ai Yori Aoshi,52
54,Appleseed (Movie),19
57,Beck,442
59,Chobits,2580
60,Chrno Crusade,311
61,D.N.Angel,307
62,D.C.: Da Capo,2
63,DearS,161
64,Rozen Maiden,192
65,Rozen Maiden: Träumend,41
66,Azumanga Daioh,778
67,Basilisk: Kouga Ninpou Chou,8
68,Black Cat,191
71,Full Metal Panic!,1821
72,Full Metal Panic? Fumoffu,1774
73,Full Metal Panic! The Second Raid,1433
76,Mahou Shoujo Lyrical Nanoha,9
77,Mahou Shoujo Lyrical Nanoha A&#039;s,9
79,Shuffle!,530
80,Mobile Suit Gundam,21
81,Mobile Suit Gundam: The 08th MS Team,52
85,Mobile Suit Zeta Gundam,2
90,Mobile Suit Gundam Wing,383
91,Mobile Suit Gundam Wing: Endless Waltz,1
93,Mobile Suit Gundam Seed,474
94,Mobile Suit Gundam Seed Destiny,218
96,Mobile Fighter G Gundam,6
97,Last Exile,67
98,Mai-HiME,44
99,Mai-Otome,1
101,Air,1413
102,Aishiteruze Baby★★,4
114,Sakigake!! Cromartie Koukou,2
120,Fruits Basket,4511
121,Fullmetal Alchemist,5428
123,Fushigi Yuugi,4
132,GetBackers,3
133,Green Green,133
134,Gunslinger Girl,44
135,Hikaru no Go,3
136,Hunter x Hunter,723
137,Hunter x Hunter OVA,86
138,Hunter x Hunter: Greed Island,136
139,Hunter x Hunter: Greed Island Final,131
145,Kareshi Kanojo no Jijou,8
147,Kimi ga Nozomu Eien,89
149,Loveless,893
150,Blood+,653
154,Shaman King,370
157,Mahou Sensei Negima!,16
164,Mononoke Hime,5168
165,RahXephon,6
166,Samurai 7,11
168,s.CRY.ed,2
169,Shingetsutan Tsukihime,46
170,Slam Dunk,46
174,Tenjou Tenge,93
177,Tsubasa Chronicle,383
180,Vandread,9
181,Vandread: The Second Stage,6
182,Tenkuu no Escaflowne,90
185,Initial D First Stage,18
186,Initial D Second Stage,5
187,Initial D Third Stage,2
189,Love Hina,765
190,Love Hina Again,196
191,Love Hina Christmas Special: Silent Eve,91
192,Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,55
193,Maburaho,35
194,Macross Zero,1
195,Onegai☆Teacher,375
196,Onegai☆Twins,121
199,Sen to Chihiro no Kamikakushi,3414
202,Wolf&#039;s Rain,318
205,Samurai Champloo,5356
208,R.O.D OVA,15
209,R.O.D the TV,1
210,Ranma ½,4
223,Dragon Ball,3822
225,Dragon Ball GT,2661
226,Elfen Lied,8901
227,FLCL,4792
228,Jigoku Shoujo,177
232,Cardcaptor Sakura,2125
237,Eureka Seven,1056
239,Gankutsuou,5
240,Genshiken,89
241,Girls Bravo: First Season,80
243,Gravitation,784
245,Great Teacher Onizuka,2171
248,Ichigo 100%,31
249,InuYasha,2570
251,Kyou kara Maou!,1
256,Hoshi no Koe,109
257,Ikkitousen,16
263,Hajime no Ippo,845
264,Hajime no Ippo: Champion Road,209
265,Hajime no Ippo: Mashiba vs. Kimura,104
267,Gungrave,44
268,Golden Boy,274
269,Bleach,3699
270,Hellsing,4263
272,Noir,1
288,Bakuten Shoot Beyblade,9
304,Aa! Megami-sama! Movie,2
317,Final Fantasy VII: Advent Children,1792
322,Paradise Kiss,233
